file                                                              before   after   wrap  tokSkip  segSkip  lnSkip
interactive-lessons/bio-immune-system-response-part4.ts               14       0     14        0        0       0
interactive-lessons/bio-immune-system-response-part5.ts                2       0      2        0        0       0
interactive-lessons/bio-immune-system-response-part6.ts                7       0      7        0        0       0
interactive-lessons/bio-meiosis-genetic-diversity-part5.ts            47       0     29        0        0       0
interactive-lessons/bio-mendelian-genetics-part1.ts                    8       0      8        0        0       0
interactive-lessons/bio-mendelian-genetics-part3.ts                    4       0      4        0        0       0
interactive-lessons/bio-mendelian-genetics-part4.ts                   11       0     10        0        3       0
interactive-lessons/bio-mendelian-genetics-part5.ts                   17       0     15        0        0       0
interactive-lessons/bio-mendelian-genetics-part6.ts                    6       0     18        0        3       0
interactive-lessons/bio-mendelian-genetics-part7.ts                    7       0      7        0        0       0
interactive-lessons/bio-natural-selection-adaptation-part2.ts          2       0      2        0        0       0
interactive-lessons/bio-natural-selection-adaptation-part5.ts         13       0     13        0        0       0
interactive-lessons/bio-natural-selection-adaptation-part6.ts          5       0      5        0        1       0
interactive-lessons/bio-natural-selection-adaptation-part7.ts         10       0     10        0        0       0
interactive-lessons/bio-nervous-system-signaling-part1.ts              2       0      2        0        0       0
interactive-lessons/bio-nervous-system-signaling-part2.ts             96       1     82        0        0       0
interactive-lessons/bio-nervous-system-signaling-part3.ts             73       0     65        0        0       0
interactive-lessons/bio-nervous-system-signaling-part4.ts             16       0     12        0        0       0
interactive-lessons/bio-nervous-system-signaling-part5.ts             61       0     40        0        0       0
interactive-lessons/bio-nervous-system-signaling-part6.ts              1       0      1        0        0       0
interactive-lessons/bio-nervous-system-signaling-part7.ts             92       0     79        0        0       0
interactive-lessons/bio-nucleic-acids-part3.ts                         8       0      8        0        0       0
interactive-lessons/bio-nucleic-acids-part4.ts                         1       0      1        0        0       0
interactive-lessons/bio-origins-of-life-part1.ts                      34       0     34        0        0       0
interactive-lessons/bio-origins-of-life-part2.ts                      23       0     22        0        0       0
interactive-lessons/bio-origins-of-life-part3.ts                       5       0      5        0        0       0
interactive-lessons/bio-origins-of-life-part4.ts                       4       0      4        0        0       0
interactive-lessons/bio-origins-of-life-part5.ts                       2       0      2        0        0       0
interactive-lessons/bio-origins-of-life-part6.ts                      16       0     16        0        0       0
interactive-lessons/bio-origins-of-life-part7.ts                      10       0     11        0        0       0
interactive-lessons/bio-plant-structure-function-part2.ts             12       0     12        0        0       0
interactive-lessons/bio-plant-structure-function-part3.ts              7       0      6        0        0       0
interactive-lessons/bio-plant-structure-function-part4.ts              6       0      4        0        0       0
interactive-lessons/bio-plant-structure-function-part7.ts              3       0      3        0        0       0
interactive-lessons/bio-population-community-ecology-part5.ts          5       0      5        0        0       0
interactive-lessons/bio-population-community-ecology-part6.ts          4       0      4        0        4       0
interactive-lessons/bio-population-community-ecology-part7.ts          3       0      3        0        0       0
interactive-lessons/bio-viral-biology-part5.ts                        23       0     12        0        0       0
interactive-lessons/bio-viral-biology-part6.ts                        38       0     25        0        0       0
